,name,level,record_longest_win_streak,losses,total_games_played,win_loss_ratio,games_played,deaths,wins,kd_ratio,suicides,kills,assists,record_kill_streak
176,WarrenG0885,1000.0,50.0,18.0,11147.0,0.6111111044883728,11147.0,24843.0,11.0,1.5281165838241577,3313.0,37963.0,9468.0,11.0
177,J-Braderzz,307.0,73.0,750.0,6015.0,1.1693333387374878,6015.0,27434.0,877.0,2.024458646774292,950.0,55539.0,11078.0,36.0
178,Mategg04,297.0,21.0,1143.0,9445.0,0.715660572052002,9445.0,43169.0,818.0,1.6334869861602783,13135.0,70516.0,14170.0,15.0
179,Chrispy_AF,632.0,62.0,436.0,6498.0,0.39908257126808167,6498.0,17970.0,174.0,1.877462387084961,8473.0,33738.0,7384.0,18.0
180,GoldBear94,679.0,42.0,1091.0,8893.0,0.4344637989997864,8893.0,32803.0,474.0,2.065725803375244,7150.0,67762.0,13963.0,16.0
181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182,MitchDEnriquez,459.0,60.0,777.0,8377.0,0.5006434917449951,8377.0,29034.0,389.0,2.148343324661255,12718.0,62375.0,9020.0,22.0
183,Erwern,170.0,35.0,1394.0,7281.0,0.6484935283660889,7281.0,52825.0,904.0,1.396838665008545,4197.0,73788.0,11983.0,17.0
184,oporta10,357.0,18.0,654.0,6438.0,0.18501529097557068,6438.0,17881.0,121.0,1.2730271816253662,560.0,22763.0,4278.0,14.0
185,Harrawr,47.0,100.0,442.0,10110.0,0.0656108632683754,10110.0,20686.0,29.0,1.261529564857483,541.0,26096.0,4110.0,11.0
186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
187,parce31,413.0,28.0,1101.0,15989.0,0.2234332412481308,15989.0,40001.0,246.0,1.5772355794906616,24975.0,63091.0,11531.0,12.0
188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
